date,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2011-02-06,491014.0,8465.758620689656,6874.5,1.4482758620689655,1.5,1.5,11.7,14.876033057851238,10.65,13.54100445009536,130.80312426741682,128.54789798694412,100.51546391752578,99.28857459316689,102.89855072463769,101.642573500281,661659.5714285715,648389.1666666666,11407.923645320197,11115.803079473908,11.685714285714285,11.748666666666667,14.883927432400966,15.085736583671265,3.4783251231527097,1.9487475969617531
2011-02-07,676094.0,11656.793103448275,9373.0,0.0,0.0,0.0,11.7,14.876033057851238,10.68,13.57914812460267,180.10730345459584,177.00200511917174,100.51546391752578,99.28857459316689,103.18840579710144,101.92889060873249,659808.7142857143,652350.4333333333,11376.012315270937,11194.776182922184,11.698571428571428,11.744666666666665,14.874216692398509,15.074460575718488,3.4399014778325125,1.94741426362842
2011-02-08,714523.0,12319.362068965518,9785.0,0.0,0.0,0.0,11.64,14.799745708836618,10.61,13.490146217418943,190.3445538435309,187.06275119105624,100.0,98.77940241576604,102.512077294686,101.260817355679,662008.8571428572,659321.4,11413.94581280788,11324.647140776591,11.692857142857141,11.737666666666664,14.866951230587592,15.059354489186338,3.3758620689655174,1.94741426362842
2011-02-09,716343.0,12350.741379310344,9866.0,2.996551724137931,3.1,3.1,11.71,14.888747616020344,10.67,13.566433566433568,190.8293907039192,187.5392287952309,100.60137457044674,99.3734366227337,103.09178743961354,101.833451572582,662734.1428571428,659721.3,11426.450738916257,11324.4402744729,11.688571428571427,11.733,14.861502134229408,15.047215132893646,3.6600985221674875,2.013088794783895
2011-02-10,719225.0,12400.431034482759,9898.0,1.3862068965517242,1.5,1.5,11.71,14.888747616020344,10.63,13.515575333757152,191.59713786416043,188.293738935468,100.60137457044674,99.3734366227337,102.70531400966185,101.45169542798,658004.2857142857,660390.6666666666,11344.901477832513,11328.931835271449,11.68857142857143,11.728333333333332,14.861502134229406,15.035075776600953,2.1798029556650245,2.022804463265443
2011-02-11,713453.0,12300.913793103447,9436.5,0.0,0.0,0.0,11.69,14.863318499682135,10.63,13.515575333757152,190.05951239264328,186.7826242479425,100.4295532646048,99.20371256360009,102.70531400966185,101.45169542798,653000.7142857143,659543.2333333333,11258.633004926107,11306.871066971387,11.69,11.721333333333332,14.863318499682135,15.019943504854398,1.9413793103448278,1.9052606036163204
2011-02-12,507179.0,9221.436363636363,8755.0,0.0,0.0,0.0,11.72,14.901462174189447,10.63,13.515575333757152,135.10938132685465,140.02244973874025,100.6872852233677,99.45829865230053,102.70531400966185,101.45169542798,648261.5714285715,651315.7333333333,11245.062337662339,11173.314267396694,11.695714285714287,11.714666666666666,14.870583961493052,15.005224577627718,0.8330049261083744,1.7478921825636888
2011-02-13,436452.0,7935.490909090909,7102.0,0.0,0.0,0.0,11.72,14.901462174189447,10.65,13.54100445009536,116.26814142318267,120.4960738385711,100.6872852233677,99.45829865230053,102.89855072463769,101.642573500281,640467.0,642008.6666666666,11169.309807433945,11019.31367196873,11.698571428571428,11.707999999999998,14.87421669239851,14.990505650401039,0.6261083743842365,1.3566641123882504
2011-02-14,651156.0,11226.827586206897,8775.0,0.0,0.0,0.0,11.739999999999998,14.926891290527651,10.65,13.54100445009536,173.46397289175883,170.47321473845264,100.8591065292096,99.62802271143411,102.89855072463769,101.642573500281,636904.4285714285,647554.3333333334,11107.886162113748,11094.290640891677,11.704285714285716,11.703666666666667,14.881482154209426,14.978779638628222,0.6261083743842365,1.2877752234993614
2011-02-15,668827.0,11531.5,8733.5,0.0,0.0,0.0,11.71,14.888747616020344,10.62,13.502860775588047,178.171419133474,175.09949811393133,100.60137457044674,99.3734366227337,102.60869565217389,101.3562563918295,630376.4285714285,655683.1666666666,10995.334437975818,11216.351752002785,11.714285714285714,11.698333333333334,14.89419671237853,14.965782171038493,0.6261083743842365,1.2070344827586206
